Config,Intermediary,Consumers,m,Anonymization,Participation Rate,Social Welfare,Consumer Surplus,Producer Profit,Intermediary Profit,Intermediary Profit Loss (%),Individual Accuracy,TP,TN,FP,FN,Consumer Surplus Gap,Gini Consumer Surplus,场景,模型,数据结构
A (Theory),Rational,Rational,0.7000000000000001,identified,0.06538230128851415,210.25077967436255,76.55102813585835,131.18265041936823,1.6071011191359812,0.0,,,,,,,,C,gpt-4.1-mini,common_preferences
B,Rational,LLM,0.7000000000000001,identified,0.2,215.716891557961,68.26252541772656,147.73726502109847,-0.28289888086401893,117.60305418840804,0.75,0.0,15.0,4.0,1.0,-8.288502718131781,0.034820244512969056,C,gpt-4.1-mini,common_preferences
C,LLM,Rational,0.6000000000000001,identified,0.03424390602811047,209.4440290893279,76.55102813585835,131.18265041936823,1.3113505341013418,18.402736549249774,,,,,,,,C,gpt-4.1-mini,common_preferences
D,LLM,LLM,0.25000000000000017,anonymized,0.05,213.52287856726656,63.906547165250025,147.1206847298596,2.495646672156949,-55.288714719996754,0.95,0.0,19.0,1.0,0.0,-12.644480970608349,0.010796152495032407,C,gpt-4.1-mini,common_preferences
A (Theory),Rational,Rational,0.0,anonymized,0.0011384444225298138,185.7577926812196,66.20165095266691,119.55513864100053,0.001003087552156856,0.0,,,,,,,,C,gpt-4.1-mini,common_experience
B,Rational,LLM,0.0,anonymized,0.0,185.7577926812196,66.20165095266691,119.55513864100053,0.001003087552156856,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.3105620612861688,C,gpt-4.1-mini,common_experience
C,LLM,Rational,0.1,anonymized,0.0033823885885025246,185.75678959366743,66.20165095266691,119.55513864100053,-0.006500000000000001,747.9992684610222,,,,,,,,C,gpt-4.1-mini,common_experience
D,LLM,LLM,0.19999999999999993,anonymized,0.0,185.75678959366743,66.20165095266691,119.55513864100053,0.0,100.0,0.95,0.0,19.0,0.0,1.0,0.0,0.3105620612861688,C,gpt-4.1-mini,common_experience
A (Theory),Rational,Rational,0.7000000000000001,identified,0.06538230128851415,210.25077967436255,76.55102813585835,131.18265041936823,1.6071011191359812,0.0,,,,,,,,C,deepseek-v3,common_preferences
B,Rational,LLM,0.7000000000000001,identified,0.0,210.25077967436255,76.55102813585835,131.18265041936823,2.5171011191359813,-56.62369275738166,0.95,0.0,19.0,0.0,1.0,0.0,0.017643694111231012,C,deepseek-v3,common_preferences
C,LLM,Rational,0.7000000000000002,identified,0.06538230128851415,210.25077967436255,76.55102813585835,131.18265041936823,1.6071011191359812,0.0,,,,,,,,C,deepseek-v3,common_preferences
D,LLM,LLM,1.7000000000000002,anonymized,0.05,202.57491478288696,98.75394734695004,102.70690996358728,1.1140574723496166,30.67906810067045,0.1,1.0,1.0,0.0,18.0,-7.395310650891872,0.03276373846240088,C,deepseek-v3,common_preferences
A (Theory),Rational,Rational,0.0,anonymized,0.0011384444225298138,185.7577926812196,66.20165095266691,119.55513864100053,0.001003087552156856,0.0,,,,,,,,C,deepseek-v3,common_experience
B,Rational,LLM,0.0,anonymized,0.0,185.7577926812196,66.20165095266691,119.55513864100053,0.001003087552156856,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.3105620612861688,C,deepseek-v3,common_experience
C,LLM,Rational,0.40000000000000024,anonymized,0.027356685856414254,185.75678959366743,66.20165095266691,119.55513864100053,-0.23200000000000012,23228.58927430111,,,,,,,,C,deepseek-v3,common_experience
D,LLM,LLM,0.7,anonymized,0.1,191.32797016236267,70.93072540258275,121.54172580342171,-1.1444810436417685,114195.82754574972,0.7,0.0,14.0,2.0,4.0,4.729074449915842,0.31225809907681223,C,deepseek-v3,common_experience
