Config,Intermediary,Consumers,m,Anonymization,Participation Rate,Social Welfare,Consumer Surplus,Producer Profit,Intermediary Profit,Intermediary Profit Loss (%),Individual Accuracy,TP,TN,FP,FN,Consumer Surplus Gap,Gini Consumer Surplus,场景,模型,数据结构
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,qwen-plus-2025-12-01,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0,209.4440291,76.55102814,131.1826504,1.710350534,-30.42664716,0.95,0,19,0,1,0,0.017643694,C,qwen-plus-2025-12-01,common_preferences
C,LLM,Rational,0.5,identified,0.013376971,208.468095,76.55102814,131.1826504,0.591916437,54.86207375,,,,,,,,C,qwen-plus-2025-12-01,common_preferences
D,LLM,LLM,1.15,identified,0,207.7336786,76.55102814,131.1826504,0,100,0.35,0,7,0,13,-13.41226712,0.017643694,C,qwen-plus-2025-12-01,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,qwen-plus,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0,209.4440291,76.55102814,131.1826504,1.710350534,-30.42664716,0.95,0,19,0,1,0,0.017643694,C,qwen-plus,common_preferences
C,LLM,Rational,0.5,identified,0.013376971,208.468095,76.55102814,131.1826504,0.591916437,54.86207375,,,,,,,,C,qwen-plus,common_preferences
D,LLM,LLM,1.25,identified,0,207.7336786,76.55102814,131.1826504,0,100,0.3,0,6,0,14,-18.2151977,0.017643694,C,qwen-plus,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,qwen3-max-2026-01-23,common_preferences
B,Rational,LLM,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.05,212.4875824,64.25654717,147.1206847,1.110350534,15.32770947,1,1,19,0,0,-12.29448097,0.015911915,C,qwen3-max-2026-01-23,common_preferences
C,LLM,Rational,0.65,identified,0.049071425,209.9448554,76.55102814,131.1826504,1.577426853,-20.29025129,,,,,,,,C,qwen3-max-2026-01-23,common_preferences
D,LLM,LLM,0.4,anonymized,0.05,213.5228786,64.05654717,147.1206847,2.345646672,-78.8725906,1,1,19,0,0,-12.49448097,0.012995468,C,qwen3-max-2026-01-23,common_preferences
A (Theory),Rational,Rational,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6]",identified,0.034243906,209.4440291,76.55102814,131.1826504,1.311350534,0,,,,,,,,C,qwen3-max,common_preferences
