model,firm_num,share_rate,avg_price,consumer_surplus,firm_profit,social_welfare,avg_search_cost,purchase_rate
rational,1,0.3,0.5,1.7905532245058877,3.5,5.290553224505888,0.0,0.7
rational,2,0.8,0.5547950686867551,1.2890704176663181,4.993155618180796,6.282226035847114,0.004,0.9
rational,3,1.0,0.6299609534767533,0.8941633519550629,4.409726674337273,5.303890026292336,0.0,0.7
rational,4,1.0,0.6687402762143707,1.3236390010891546,6.018662485929337,7.342301487018491,0.0,0.9
rational,5,1.0,0.698827744273689,1.2987947931267547,5.590621954189512,6.889416747316266,0.0,0.8
rational,6,1.0,0.7230211101001905,1.362367993315862,6.507189990901715,7.869557984217577,0.0,0.9
rational,7,1.0,0.7429974710404722,1.2159188765506364,7.429974710404722,8.645893586955358,0.0,1.0
rational,8,1.0,0.7598364355807592,1.2669481139653767,7.5983643558075915,8.865312469772968,0.0,1.0
rational,9,1.0,0.7742622144370545,1.122690325402424,7.742622144370545,8.865312469772968,0.0,1.0
rational,10,1.0,0.7867939286660706,0.997373183112263,7.867939286660706,8.865312469772968,0.0,1.0
